year,estimate,le,ue
1990,1053.5789766361618,1048.9864627043394,1058.9394056691576
1991,1040.6540395666245,1036.4703258106365,1046.8824117333536
1992,1018.4185529300311,1013.7169763705881,1023.8673648258978
1993,1014.8006320362643,1010.5157523099858,1020.8811361513448
1994,1004.1878066867033,1000.0286469372371,1009.135754
1995,998.2134153040408,994.0823145211743,1004.1415838152981
1996,991.6933830196396,987.7824968867587,997.6354775323887
1997,976.4583892552126,972.3859282561593,982.3020692522393
1998,965.5788384263824,961.5878537605225,970.8813574254332
1999,956.6251481321299,952.4381561830851,961.5336948
2000,947.9797427343344,943.6442025872595,953.3705367425057
2001,943.2595522179585,938.8893388718933,948.6747609585899
2002,952.5520185676163,948.3741404363471,958.4778273246231
2003,954.3074274689446,949.7481656834361,960.0263073817604
2004,932.8988188562678,928.2474824,938.9052663533951
2005,927.7878356122679,922.8138247367461,933.9426333281195
2006,927.7484124,922.2870989904432,933.9477577717262
2007,936.1790435908946,930.9432226952746,942.9876308653362
2008,950.6805355543626,945.4616727298111,957.4548048175265
2009,962.5355586378109,957.3922779311655,969.7199822247071
2010,965.9908503048154,960.237171,972.8897896203562
2011,967.3141650737956,961.8074719,975.2971212
2012,980.9041701377652,975.0677042606243,988.8749446122226
2013,996.6728020988505,990.6694656460398,1005.3780073681755
2014,991.8341284036196,985.3274399707246,1000.2682562867939
2015,1014.3960079071525,1007.6962333269755,1023.1314024165479
2016,1024.128711934656,1017.0635433798025,1034.0470362393628
2017,1019.7402626864967,1012.8819011734239,1030.1069251160852
2018,1025.1211972190165,1018.2932693797154,1035.4701893643416
2019,1016.108583960227,1007.7675544141592,1027.157513805777
2020,1019.1885254437325,1009.744949,1031.7735565035075
2021,1006.5505084919506,998.1943586551996,1018.9299595772437
